"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_RAGE_TOWER_SHORT","Rage","الغضب","狂暴法术","狂暴法術","Wut","Furia","طلسم خشم","Raivo","Rage","Amarah","Furia","レイジ","분노 마법","Kemarahan","Woede","Raseri","Fúria","Ярость","คลุ้มคลั่ง","Öfke","Thịnh nộ"
"TID_INVISIBILITY_TOWER_SHORT","Invisibility","الاختفاء","隐形法术","隱形法術","Unsichtbarkeit","Invisibilidad","طلسم نامرئی‌کننده","Näkymättömyys","Invisibilité","Penghilang","Invisibilità","インビジブル","투명 마법","Halimunan","Onzichtbaarheid","Usynlighet","Invisibilidade","Невидимость","ล่องหน","Görünmezlik","Tàng hình"
"TID_POISON_TOWER_SHORT","Poison","السم","伤害药水法术","施毒法術","Gift","Veneno","طلسم سمی","Myrkky","Poison","Racun","Veleno","ポイズン","독 마법","Racun","Gif","Gift","Veneno","Яд","พิษ","Zehir","Độc dược"
"TID_BUTTON_CHANGE_SPELL","Choose Spell","اختر تعويذة","选择法术","選擇法術","Zauber wählen","Elige el hechizo","طلسم تغییر","Valitse loitsu","Changer le sort","Pilih Mantra","Scegli l'incantesimo","呪文を選択","마법을 선택하세요","Pilih Sihir","Kies een spreuk","Velg formel","Escolha o feitiço","Выбрать заклинание","เลือกอาคม","Büyü Seç","Thay đổi Thần chú"
"TID_PET_POISON_LIZARD_INFO","Always the fastest never the lastest, Poison Lizard spits slowing toxins at its foes. Is it actually a venom lizard? Possibly, but who's brave enough to correct it?","بسرعة البرق تبخ السحلية السامة سمومًا مبطئة نحو أعدائها. أيجدر أن يكون اسمها البرص السام؟ ربما، ولكن من سيتجرأ ويصحح لها الاسم؟","论速度，猛蜥称第二，没人敢称第一。它可以向敌人喷吐减速毒素。猛蜥真的有毒吗？可能吧，但谁又有那么大的胆子去验明真假呢？","論速度，猛毒蜥如果自稱第二，沒人敢稱第一。牠可以向敵人噴吐減速毒液。猛毒蜥真的有毒嗎？很有可能，但誰敢去驗證呢？","Die Giftechse ist immer die Schnellste und niemals die Letzte - außerdem spuckt sie Gift auf ihre Gegner, das diese verlangsamt.","El lagarto venenoso, el más veloz del campo de batalla, escupe toxinas a los enemigos para ralentizarlos. ¿Es venenoso de verdad? Quizá, ¿aunque quién se atrevería a corregirlo?","مارمولک سمی که همیشه سریع‌ترین است و هیچ‌وقت آخرین نیست، سم‌هایی را که سرعت را کاهش می‌دهند به‌سمت دشمنانش تف می‌کند. آیا واقعاً یک مارمولک زهرآگین است؟ شاید باشد، اما چه کسی آنقدر شجاع است که او را ادب کند؟","Taistelukentän nopein hyökkääjä, myrkkylisko, sylkee hidastusmyrkkyä vihollisia kohti. Tämän toksisen matelijan ympärillä kuljetaan kuin hidastetussa filmissä!","Rapide comme l'éclair, le lézard létal crache des toxines ralentissantes sur ses adversaires. Est-ce qu'il est vraiment venimeux ? C'est possible, mais personne n'a eu le courage de vérifier...","Kalau tidak bisa jadi yang paling cepat, buat yang lain jadi lebih lambat! Kadal Beracun akan meludahkan racun yang akan melambatkan gerak lawan. Tidak ada yang cukup cepat untuk mencari tahu senyawa apa yang ada dalam racun ini.","La lucertola sputaveleno è un animaletto rapidissimo che sputa tossine ai nemici, rallentandone i movimenti. Con lei attorno, tutto il mondo sembrerà andare in slow-motion!","スピードにかけては誰にも負けないポイズンリザードは、毒を吐き出して敵の速度を低下させます。ひょっとすると、ただの毒ではなく猛毒なのかも...？しかし、それを確かめる勇気は誰にもないでしょう。","항상 제일 빨리 나타난다는 독마뱀은 적에게 끈끈한 독을 뱉어 행동을 늦춥니다. 근데 독 도마뱀이라고 해야 맞지 않나요? 하지만 감히 누가 이름을 고칠 용기가 있겠어요?","Cicak Beracun yang lincah meludahkan toksin yang memperlahankan musuh. Adakah ia sebenarnya cicak berbisa? Mungkin juga, tetapi beranikah anda mengesahkannya?","Altijd de snelste en nooit de laatste: de gifhagedis spuwt gif naar zijn vijanden om ze te vertragen. Sommigen twijfelen of hij echt giftig is, maar niemand durft het te controleren.","Giftøglen er alltid raskest og aldri sist. Den spytter sinkende giftstoffer på fiendene. Ekle greier, så pass deg!","Peçonha é um lagarto venenoso que cospe uma toxina capaz de desacelerar os inimigos. Com ele na batalha, as outras tropas parecem estar em câmera lenta!","Ядовитый ящер обгонит любого — неудивительно, учитывая, что его плевки замедляют врагов. В результате создается довольно токсичная атмосфера, но никто не решается жаловаться.","มาช้ายังดีกว่าไม่มา กิ้งก่าอสรพิษพ่นพิษที่จะทำให้ศัตรูช้าลง พิษของเขาเป็นวีแกนหรือเปล่า? ก็อาจจะใช่ แต่จะใครล่ะที่กล้าพอที่จะทดสอบ?","Hayvanların en hızlısı olan Zehirli Kertenkele, düşmanları yavaşlatan bir zehir tükürür. Zehrini kimseden esirgemeyen bu kertenkeleye kim karşı koyabilir?","Thằn lằn phun độc rất nhanh nhẹn và linh hoạt. Nó sẽ phun nọc độc khiến đối thủ di chuyển chậm lại. Chất độc này có gây chết người không? Có thể lắm, có ai đủ can đảm để xác nhận điều này không?"
"TID_PRIORITIZED_UPGRADES","Prioritized Upgrades:","الترقيات مرتبة الأولوية:","优先升级的项目：","優先升級：","Zurückg. Verb.:","Mejoras con prioridad:","ارتقاهای اولویت‌دار:","Tärkeät päivitykset:","Améliorations prioritaires :","Prioritas Peningkatan:","Miglioramenti con priorità:","優先中のアップグレード：","업그레이드 우선순위:","Naik taraf diutamakan:","Geprioriteerde upgrades:","Prioriterte oppgraderinger:","Melhorias prioritárias:","Приоритет улучшений:","การอัปเกรดที่จัดลำดับ:","Öncelikli Yükseltmeler:","Nâng cấp được ưu tiên:"
"TID_CAPITAL_UPGRADE_DEPRIORITIZE","Deprioritize","تخفيض الأولوية","取消","取消","Zurück-\nstellen","Relegar","از اولویت خارج کردن","Merkitse:\nei tärkeä","Annuler","Turunkan\nPrioritas","Togli priorità","優先しない","우선시 취소","Batal keutamaan","Geef geen\nprioriteit","Nedprioriter","Não priorizar","Убрать\nприоритет","จัดลำดับหลัง","Önceliği Kaldır","Bỏ ưu tiên"
"TID_CAPITAL_UPGRADE_PRIORITIZE","Prioritize","منح الأولوية","优先","優先","Priorisieren","Priorizar","در اولویت قرار دادن","Merkitse:\ntärkeä","Prioritaire","Prioritaskan","Da' priorità","優先する","우선시하기","Mengutamakan","Geef prioriteit","Prioriter","Priorizar","Установить\nприоритет","จัดลำดับก่อน","Öncelik Ver","Ưu tiên"
"TID_TH15_KING","Magic King","ملك السحر","魔法蛮王","魔幻之王","Magiekönig","Rey mágico","پادشاه جادویی","Taikakuningas","Roi magique","Raja Sihir","Re magico","マジック キング","마법 킹","Raja Ajaib","Magische koning","Magisk konge","Rei Mágico","Волшебный король","ราชันเวทมนตร์","Büyülü Kral","Vua Phép thuật"
